incentive_id,driver_id,incentive_type,offer_date,status,bonus_amount
1,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-15T08:17:46.922372+00:00,completed,148.56
2,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-11-24T01:56:35.922372+00:00,offered,0.0
3,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-15T15:32:20.922372+00:00,offered,0.0
4,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-11-24T23:19:21.922372+00:00,offered,0.0
5,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-03T15:48:11.922372+00:00,offered,0.0
6,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-31T06:46:33.922372+00:00,offered,0.0
7,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-20T17:58:35.922372+00:00,offered,0.0
8,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-11-15T09:04:34.922372+00:00,offered,0.0
9,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-11-27T17:24:26.922372+00:00,offered,0.0
10,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-10-30T05:51:38.922372+00:00,offered,0.0
11,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-11-05T16:51:57.922372+00:00,offered,0.0
12,fa1d1df1-be44-4802-8b83-9e02c09b7a30,Quest,2025-12-29T11:48:55.922372+00:00,offered,0.0
13,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-16T05:45:43.922372+00:00,completed,93.1
14,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-22T06:38:11.922372+00:00,completed,93.1
15,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-29T22:25:32.922372+00:00,completed,93.1
16,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-11-03T20:34:20.922372+00:00,completed,93.1
17,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-11-27T06:20:23.922372+00:00,completed,93.1
18,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-12-08T21:04:15.922372+00:00,completed,93.1
19,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-22T11:58:59.922372+00:00,completed,93.1
20,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-18T07:54:14.922372+00:00,completed,93.1
21,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-12-28T07:48:48.922372+00:00,completed,93.1
22,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-12-21T19:51:58.922372+00:00,completed,93.1
23,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-10T20:12:57.922372+00:00,completed,93.1
24,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-12-30T12:24:27.922372+00:00,completed,93.1
25,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-11-11T10:42:18.922372+00:00,offered,0.0
26,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-12-11T21:06:57.922372+00:00,offered,0.0
27,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-11T08:52:18.922372+00:00,offered,0.0
28,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2026-01-02T06:50:38.922372+00:00,offered,0.0
29,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-10-27T03:17:13.922372+00:00,offered,0.0
30,9fe9b691-affc-40a8-a06e-a7f94ca2fce3,Quest,2025-11-02T11:37:06.922372+00:00,offered,0.0
31,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-23T18:46:20.922372+00:00,completed,277.33
32,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-12-30T19:51:40.922372+00:00,completed,277.33
33,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-07T16:45:40.922372+00:00,completed,277.33
34,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-12-27T02:19:49.922372+00:00,completed,277.33
35,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-09T14:45:41.922372+00:00,completed,277.33
36,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-12-28T06:49:20.922372+00:00,completed,277.33
37,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-11-30T05:37:52.922372+00:00,completed,277.33
38,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-12-28T01:45:42.922372+00:00,completed,277.33
39,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-11-17T00:13:44.922372+00:00,completed,277.33
40,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-04T22:11:56.922372+00:00,completed,277.33
41,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-22T10:08:22.922372+00:00,completed,277.33
42,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-17T15:04:54.922372+00:00,completed,277.33
43,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-30T18:31:02.922372+00:00,completed,277.33
44,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-06T14:31:08.922372+00:00,completed,277.33
45,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-11-15T14:28:39.922372+00:00,completed,277.33
46,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-26T09:50:08.922372+00:00,completed,277.33
47,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-02T01:46:52.922372+00:00,completed,277.33
48,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-08T01:24:00.922372+00:00,completed,277.33
49,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-10-10T08:51:32.922372+00:00,completed,277.33
50,098fdc14-e6b9-4645-81b1-9708484d4208,Quest,2025-09-24T23:30:36.922372+00:00,completed,277.33
